permalink	city	lat	long	created_at	Projet	puissance	color	power
AUTOVêA DEL NORTE, SALIDA 115-119	BOCEGUILLAS	41.32515693	-3.63138289		CIRVE		green	50
CTRA. N-634 (SAN SEBASTIçN-LA CORU‹A), KM. 93	AMOREBIETA-ECHANO	43.22889633	-2.7529704		CIRVE		green	50
C/ Gorbea Mendi 3,	MURGUêA	42.961977	-2.827435		CIRVE		green	50
C/ EBANISTAS 2	ALCORCÓN	40.342444	-3.805716		CIRVE		green	50
CARRETERA VILLAVERDE A VALLECAS, 24	MADRID	40.370394	-3.644576		CIRVE		green	50
POLêGONO LARRAMENDI	BERGARA	43.136772	-2.43138999		CIRVE		green	50
C/ BITORIALANDA 12	VITORIA-GASTEIZ	42.860017	-2.703481		CIRVE		green	50
C/PASEO DE LA CASTELLANA - INTERCAMBIADOR PLAZA DE CASTILLA	MADRID	40.4668966	-3.68919329999994		CIRVE		green	50
C/JOAQUIN MORALES Y TORRES - ESTACIÓN DE SANTA JUSTA	SEVILLA	37.391863	-5.97533899		CIRVE		green	50
76 Brommav_gen 76 Bromma Sweden	Bromma	59.340165	17.940159		CORRIDOR GREAT	50 kW	green	50
1 Vida Nyk_pingsbro Nyk_ping Sweden	Nyk_ping	58.748093	16.920793		CORRIDOR GREAT	50 kW	green	50
1 Ny_ngsgatan 1 Grums Sweden	Grums	59.367270	13.144421		CORRIDOR GREAT	50 kW	green	50
29 Hagalundsv_gen 29 Karlstad Sweden	Karlstad	59.383885	13.477683		CORRIDOR GREAT	50 kW	green	50
8 Hultgrensgatan 8 K_ping Sweden	K_ping	59.510659	15.986798		CORRIDOR GREAT	50 kW	green	50
93 Nordby K_llbacken 93 Str_mstad Sweden	Str_mstad	59.063489	11.212797		CORRIDOR GREAT	50 kW	green	50
1 Gr_nnav_gen 1 Husqvarna Sweden	Husqvarna	57.789074	14.264888		CORRIDOR GREAT	50 kW	green	50
6 Pumpgatan 6 Karlstad Sweden	Karlstad	59.382130	13.523179		CORRIDOR GREAT	50 kW	green	50
1 Centralplan Stockholm Sweden	Stockholm	59.329392	18.059886		CORRIDOR GREAT	50 kW	green	50
1 Centralplan Stockholm Sweden	Stockholm	59.329392	18.059886		CORRIDOR GREAT	50 kW	green	50
2 Boglunsgatan 2 ƒrebro Sweden	ƒrebro	59.297276	15.202809		CORRIDOR GREAT	50 kW	green	50
1 Sillekrog Tystberga Sweden	Tystberga	58.918223	17.368915		CORRIDOR GREAT	50 kW	green	50
1 Himle Tvëëker Sweden	Tvëëker	57.062821	12.351899		CORRIDOR GREAT	50 kW	green	50
1 Liljekonvaljv_gen 1 ƒdesh_g Sweden	ƒdesh_g	58.227122	14.668771		CORRIDOR GREAT	50 kW	green	50
1 Landskrona Landskrona Sweden	Landskrona	55.875190	12.881876		CORRIDOR GREAT	50 kW	green	50
2 Snickargatan 2B Årj_ng Sweden	Årj_ng	59.394877	12.137023		CORRIDOR GREAT	50 kW	green	50
9 Ulvarydsv_gen 1 Markaryd Sweden	Markaryd	56.445565	13.602917		CORRIDOR GREAT	50 kW	green	50
1 Gustav Adolfs Torg Stockholm Sweden	Stockholm	59.329617	18.069095		CORRIDOR GREAT	50 kW	green	50
23 Strandv_gen Stockholm Sweden	Stockholm	59.331375	18.085995		CORRIDOR GREAT	50 kW	green	50
7 Scheelegatan 7 Stockholm Sweden	Stockholm	59.330602	18.043916		CORRIDOR GREAT	50 kW	green	50
1 Jarlaplan Stockholm Sweden	Stockholm	59.344388	18.062708		CORRIDOR GREAT	50 kW	green	50
1 Transportgatan Hisings Backa Sweden	Hisings Backa	57.77231	11.99858		CORRIDOR GREAT	50 kW	green	50
1 E6/E20 Glumsl_v Sweden	Glumsl_v	55.940859	12.818078		CORRIDOR GREAT	50 kW	green	50
2 Sk_rblackav_gen 2 Norrk_ping Sweden	Norrk_ping	58.568347	16.079308		CORRIDOR GREAT	50 kW	green	50
23 Kungsbro Strand 23 Stockholm Sweden	Stockholm	59.331651	18.050083		CORRIDOR GREAT	50 kW	green	50
1 Dockgatan 1B Malm_ Sweden	Malm_	55.614974	12.988226		CORRIDOR GREAT	50 kW	green	50
1 Kajgatan 1 Lomma Sweden	Lomma	55.676036	13.067639		CORRIDOR GREAT	50 kW	green	50
2 Romgatan 2 Enk_ping Sweden	Enk_ping	59.652630	17.081164		CORRIDOR GREAT	50 kW	green	50
1 S_tra Trafikplats E18/E20 Arboga Sweden	Arboga	59.425622	15.829021		CORRIDOR GREAT	50 kW	green	50
7 V_sthagagatan 7 ƒrebro Sweden	ƒrebro	59.270810	15.175151		CORRIDOR GREAT	50 kW	green	50
9 Hultagatan 9 Borës Sweden	Borës	57.720255	12.973333		CORRIDOR GREAT	50 kW	green	50
6 Tradenv_gen 6 Munkedal Sweden	Munkedal	58.487554	11.630687		CORRIDOR GREAT	50 kW	green	50
1 Ucklumsv_gen  Stenungsund Sweden	Stenungsund	58.059313	11.878524		CORRIDOR GREAT	50 kW	green	50
1 Kungsholms Hamnplan Stockholm Sweden	Stockholm	59.327420	18.046279		CORRIDOR GREAT	50 kW	green	50
2 Frennarpsv_gen 2 Halmstad Sweden	Halmstad	56.674116	12.892972		CORRIDOR GREAT	50 kW	green	50
6 Snapphaneall_n 6 Skënes Fagerhult Sweden	Skënes Fagerhult	56.361244	13.474332		CORRIDOR GREAT	50 kW	green	50
2 Armborstgatan  2 Mj_lby Sweden	Mj_lby	58.323749	15.089948		CORRIDOR GREAT	50 kW	green	50
6 Mellangërdsv_gen 6 Falkenberg Sweden	Falkenberg	56.931378	12.517724		CORRIDOR GREAT	50 kW	green	50
4 Nyponv_gen 4 Ljungby Sweden	Ljungby	56.812158	13.908875		CORRIDOR GREAT	50 kW	green	50
1 Slottskajen Stockholm Sweden	Stockholm	59.327368	18.070240		CORRIDOR GREAT	50 kW	green	50
1 Bredastensv_gen V_rnamo Sweden	V_rnamo	57.16302	14.07343		CORRIDOR GREAT	50 kW	green	50
1 Ekenleden Këllered Sweden	Këllered	57.60207	12.05168		CORRIDOR GREAT	50 kW	green	50
1 Industrigatan Malm_ Sweden	Malm_	55.59935	13.0238		CORRIDOR GREAT	50 kW	green	50
7 Fëgelbacksgatan Malm_ Sweden	Malm_	55.59683	12.98893		CORRIDOR GREAT	50 kW	green	50
10 Vester SËgade Copenhagen Denmark 	Copenhagen	55.6759776	12.5592794		CORRIDOR GREAT	50 kW	green	50
48 ¿ster All_ Copenhagen Denmark 	Copenhagen	55.702591	12.573993		CORRIDOR GREAT	50 kW	green	50
4 Trafikcener All_ Slagelse Denmark 	Slagelse	55.386294	11.362642		CORRIDOR GREAT	50 kW	green	50
1 E39 Highway reststop E39 Denmark 	Highway reststop E39	57.2737422	9.99168005		CORRIDOR GREAT	50 kW	green	50
1 E39 Highway reststop E39 Denmark 	Highway reststop E39	57.2715496	9.98809661		CORRIDOR GREAT	50 kW	green	50
1 E45 Highway reststop E45 Denmark 	Highway reststop E45	57.15196659	10.15933900		CORRIDOR GREAT	50 kW	green	50
1 E45 Highway reststop E45 Denmark 	Highway reststop E45	57.15413219	10.15844907		CORRIDOR GREAT	50 kW	green	50
1 Highway 15 Highway 15 reststop  Denmark 	Highway 15 reststop 	56.14921972	9.767468834		CORRIDOR GREAT	50 kW	green	50
1 Highway 15 Highway 15 reststop Denmark 	Highway 15 reststop	56.148024444	9.7641214379		CORRIDOR GREAT	50 kW	green	50
2 HËrmarken FuresË Denmark 	FuresË	55.8213417	12.3723340		CORRIDOR GREAT	50 kW	green	50
1 E47 RËdby Denmark 	RËdby	54.66034924	11.36055164		CORRIDOR GREAT	50 kW	green	50
5 Zum Sôdtor Rostock Germany	Rostock	54.1374322	12.1142803		CORRIDOR GREAT	50 kW	green	50
1 Neuer Skandinavienkai Puttgarten Germany	Puttgarten	54.503941	11.226697		CORRIDOR GREAT	50 kW	green	50
